source,target
Importo_20000000_1,Premio_finale
Importo_5000000_1,Premio_finale
Importo_3000000_3,Premio_finale
Importo_7000000_1,Premio_finale
Importo_4500000_1,Premio_finale
Importo_3000000_2,Premio_finale
Importo_3000000_1,Premio_finale
Importo_35000000_1,Premio_finale
Importo_40000000_2,Premio_finale
Importo_80000000_1,Premio_finale
Importo_145000000_1,Premio_finale
Importo_115000000_1,Premio_finale
Importo_95000000_1,Premio_finale
Importo_45000000_1,Premio_finale
Importo_40000000_1,Premio_finale
Integrazioni,Verbale_n.222
Integrazioni,Stagione_1968-1969
17_luglio_1969,Integrazioni
Importo_5000000_9,Integrazioni
Importo_6000000_4,Integrazioni
Importo_10000000_4,Integrazioni
Importo_15000000_3,Integrazioni
Importo_18000000_1,Integrazioni
Importo_21000000_1,Integrazioni
Importo_24000000_2,Integrazioni
Importo_24000000_1,Integrazioni
Importo_26000000_1,Integrazioni
Integrazione_recite,Verbale_n.222
Integrazione_recite,Stagione_1968-1969
29_ottobre_1970,Integrazione_recite
17_luglio_1969,Integrazione_recite
Importo_200000_7,Integrazione_recite
Importo_200000_6,Integrazione_recite
Importo_300000_5,Integrazione_recite
Importo_150000_3,Integrazione_recite
Importo_300000_4,Integrazione_recite
Importo_100000_2,Integrazione_recite
Importo_300000_3,Integrazione_recite
Importo_300000_2,Integrazione_recite
Importo_800000_1,Integrazione_recite
Importo_150000_2,Integrazione_recite
Importo_200000_5,Integrazione_recite
Importo_70000_1,Integrazione_recite
Importo_500000_1,Integrazione_recite
Importo_120000_2,Integrazione_recite
Importo_100000_1,Integrazione_recite
Importo_250000_2,Integrazione_recite
Importo_200000_4,Integrazione_recite
Importo_300000_1,Integrazione_recite
Importo_80000_1,Integrazione_recite
Importo_220000_2,Integrazione_recite
Importo_220000_1,Integrazione_recite
Importo_400000_3,Integrazione_recite
Importo_400000_2,Integrazione_recite
Importo_150000_1,Integrazione_recite
Importo_200000_3,Integrazione_recite
Importo_200000_2,Integrazione_recite
Importo_400000_1,Integrazione_recite
Importo_250000_1,Integrazione_recite
Importo_200000_1,Integrazione_recite
Importo_350000_1,Integrazione_recite
Importo_120000_1,Integrazione_recite
Importo_450000_1,Integrazione_recite
Contributo_straordinario_,Verbale_n.223
Contributo_straordinario_,Verbale_n.222
Contributo_straordinario_,Stagione_1968-1969
30_ottobre_1969,Contributo_straordinario_
17_luglio_1969,Contributo_straordinario_
Importo_300000_6,Contributo_straordinario_
Importo_4000000_6,Contributo_straordinario_
Contributo_integrativo,Verbale_n.223
Contributo_integrativo,Stagione_1968-1969
30_ottobre_1969,Contributo_integrativo
Importo_25000000_1,Contributo_integrativo
Verona,Stagione_1968-1969
Verona,Premio_finale
Venezia,Stagione_1968-1969
Venezia,Premio_finale
Venezia,Integrazione_recite
Trieste,Stagione_1968-1969
Trieste,Premio_finale
Trieste,Integrazioni
Trieste,Integrazione_recite
Torino,Stagione_1968-1969
Torino,Premio_finale
Torino,Integrazioni
Roma,Stagione_1968-1969
Roma,Premio_finale
Roma,Integrazioni
Parma,Stagione_1968-1969
Parma,Premio_finale
Palermo,Stagione_1968-1969
Palermo,Premio_finale
Napoli,Stagione_1968-1969
Napoli,Premio_finale
Milano,Stagione_1968-1969
Milano,Premio_finale
Milano,Integrazioni
Lugano,Stagione_1968-1969
Lugano,Integrazione_recite
L'Aquila,Stagione_1968-1969
L'Aquila,Premio_finale
L'Aquila,Integrazioni
Genova,Stagione_1968-1969
Genova,Premio_finale
Genova,Integrazioni
Catania,Stagione_1968-1969
Catania,Premio_finale
Catania,Integrazioni
Bolzano,Stagione_1968-1969
Bolzano,Premio_finale
Bolzano,Integrazioni
Bolzano,Integrazione_recite
Bologna,Stagione_1968-1969
Bologna,Premio_finale
Bari,Stagione_1968-1969
Bari,Premio_finale
