id,label,type,node_value
Compagnia_Gruppo_della_Rocca,Compagnia Gruppo della Rocca,Soggetto beneficiario,6000000
Compagnia_Gruppo_Teatro_e_Azione_di_Giorgio_Strehler,Compagnia Gruppo Teatro e Azione di Giorgio Strehler,Soggetto beneficiario,20000000
Compagnia_Gruppo_Teatro_ed_Azione_diretta_da_G._Strehler,Compagnia Gruppo Teatro ed Azione diretta da G. Strehler,Soggetto beneficiario,15000000
Compagnia_Gruppo_Tre_G,Compagnia Gruppo Tre G,Soggetto beneficiario,200000
Compagnia_I_Ruspenti,Compagnia I Ruspenti,Soggetto beneficiario,3000000
Compagnia_il_Teatrino_dei_Gufi,Compagnia il Teatrino dei Gufi,Soggetto beneficiario,550000
Compagnia_Informativa_'65,Compagnia Informativa '65,Soggetto beneficiario,4500000
Compagnia_Italiana_di_Prosa_Zeffirelli,Compagnia Italiana di Prosa Zeffirelli,Soggetto beneficiario,300000
Compagnia_La_Milanese,Compagnia La Milanese,Soggetto beneficiario,8000000
Compagnia_Lupo-Valeri,Compagnia Lupo-Valeri,Soggetto beneficiario,5520000
Compagnia_Modugno,Compagnia Modugno,Soggetto beneficiario,20000000
Compagnia_Morelli-Stoppa,Compagnia Morelli-Stoppa,Soggetto beneficiario,20300000
Compagnia_Nuova,Compagnia Nuova,Soggetto beneficiario,4000000
Compagnia_Raf_Vallone,Compagnia Raf Vallone,Soggetto beneficiario,11150000
Compagnia_Scuola_di_recitazione_per_ragazzi_direttada_Mietta_Latini_Maciotti,Compagnia Scuola di recitazione per ragazzi direttada Mietta Latini Maciotti,Soggetto beneficiario,0
Compagnia_Senza_Tetto_(Università_Cattolica_del_Sacro_Cuore),Compagnia Senza Tetto (Università Cattolica del Sacro Cuore),Soggetto beneficiario,1000000
Compagnia_Sociale_Teatro_Nuovo_Mondo,Compagnia Sociale Teatro Nuovo Mondo,Soggetto beneficiario,1000000
Compagnia_Sociale_Tempo_Nuovo,Compagnia Sociale Tempo Nuovo,Soggetto beneficiario,1000000
Compagnia_Spettacoli_Classici,Compagnia Spettacoli Classici,Soggetto beneficiario,2000000
Compagnia_Spettacoli_per_ragazzi_di_L._Barbieri,Compagnia Spettacoli per ragazzi di L. Barbieri,Soggetto beneficiario,1000000
Compagnia_Stabile_del_Teatro_di_Roma,Compagnia Stabile del Teatro di Roma,Soggetto beneficiario,3000000
Compagnia_Stabile_del_Teatro_Milanese,Compagnia Stabile del Teatro Milanese,Soggetto beneficiario,23000000
Compagnia_Stabile_della_Città_di_Padova,Compagnia Stabile della Città di Padova,Soggetto beneficiario,50000000
Compagnia_Teatro_Comico_La_Milanese,Compagnia Teatro Comico La Milanese,Soggetto beneficiario,6000000
Compagnia_Teatro_degli_Anni_Verdi,Compagnia Teatro degli Anni Verdi,Soggetto beneficiario,2000000
Compagnia_Teatro_della_Rocca,Compagnia Teatro della Rocca,Soggetto beneficiario,1500000
Compagnia_Teatro_Esse_di_Napoli,Compagnia Teatro Esse di Napoli,Soggetto beneficiario,1500000
Compagnia_Teatro_Insieme,Compagnia Teatro Insieme,Soggetto beneficiario,9000000
Compagnia_Teatro_Libero,Compagnia Teatro Libero,Soggetto beneficiario,9000000
Compagnia_Teatro_Quartiere_dei_Bambini,Compagnia Teatro Quartiere dei Bambini,Soggetto beneficiario,1000000
Compagnia_Teatro_San_Babila,Compagnia Teatro San Babila,Soggetto beneficiario,11800000
Compagnia_Tre_Dita,Compagnia Tre Dita,Soggetto beneficiario,1000000
Compagnia_Ultima_Edizione,Compagnia Ultima Edizione,Soggetto beneficiario,600000
Compagnia_Universitaria_Teatro_Libero_-_Palermo,Compagnia Universitaria Teatro Libero - Palermo,Soggetto beneficiario,1000000
Compagnie_Gruppo_di_Sperimentazione_Orsoline_15,Compagnie Gruppo di Sperimentazione Orsoline 15,Soggetto beneficiario,1800000
Comunità_teatrale_dell'Emilia-Romagna,Comunità teatrale dell'Emilia-Romagna,Soggetto beneficiario,16600000
Comunità_Teatrale_Emilia-Romagna,Comunità Teatrale Emilia-Romagna,Soggetto beneficiario,8000000
Comunità_Teatrale_Italiana,Comunità Teatrale Italiana,Soggetto beneficiario,700000
Cooperativa_Teatro_Belli,Cooperativa Teatro Belli,Soggetto beneficiario,6000000
Cristiano-Isabella,Cristiano-Isabella,Soggetto beneficiario,225000
CUT_Bari,CUT Bari,Soggetto beneficiario,3000000
CUT_Bologna,CUT Bologna,Soggetto beneficiario,3000000
CUT_di_Bari,CUT di Bari,Soggetto beneficiario,3000000
CUT_di_Firenze,CUT di Firenze,Soggetto beneficiario,2000000
CUT_di_Genova,CUT di Genova,Soggetto beneficiario,3000000
CUT_di_Padova,CUT di Padova,Soggetto beneficiario,5000000
CUT_di_Parma,CUT di Parma,Soggetto beneficiario,10000000
CUT_di_Urbino,CUT di Urbino,Soggetto beneficiario,2000000
CUT_Firenze,CUT Firenze,Soggetto beneficiario,1800000
CUT_Genova,CUT Genova,Soggetto beneficiario,3000000
CUT_L'Aquila,CUT L'Aquila,Soggetto beneficiario,1000000
CUT_Perugia,CUT Perugia,Soggetto beneficiario,3000000
D'Origlia-Palmi,D'Origlia-Palmi,Soggetto beneficiario,1200000
Dapporto-Orfei,Dapporto-Orfei,Soggetto beneficiario,3400000
De_Lullo-Falk-Valli-Albani,De Lullo-Falk-Valli-Albani,Soggetto beneficiario,35000000
De'_Servi,De' Servi,Soggetto beneficiario,3000000
Dei_Satiri,Dei Satiri,Soggetto beneficiario,3500000
Dei_Servi_,Dei Servi,Soggetto beneficiario,1000000
Del_Cachinno,Del Cachinno,Soggetto beneficiario,2000000
Del_Dramma_Italiano,Del Dramma Italiano,Soggetto beneficiario,3000000
Della_Commedia,Della Commedia,Soggetto beneficiario,6000000
Della_Loggetta,Della Loggetta,Soggetto beneficiario,3000000
Delle_Arti,Delle Arti,Soggetto beneficiario,4000000
Delle_Muse,Delle Muse,Soggetto beneficiario,5000000
Dorelli-Spaak,Dorelli-Spaak,Soggetto beneficiario,200000
Durini,Durini,Soggetto beneficiario,3000000
E.A._Piccolo_Teatro_della_città_di_Milano,E.A. Piccolo Teatro della città di Milano,Soggetto beneficiario,18000000
E.A._Teatro_Stabile_de_L'Aquila,E.A. Teatro Stabile de L'Aquila,Soggetto beneficiario,12000000
E.A._Teatro_Stabile_di_Prosa_del_Friuli-Venzia_Giulia,E.A. Teatro Stabile di Prosa del Friuli-Venzia Giulia,Soggetto beneficiario,14000000
E.T._Teatro_Stabile_di_prosa_del_Friuli_Venezia_Giulia,E.T. Teatro Stabile di prosa del Friuli Venezia Giulia,Soggetto beneficiario,80000000
E.T.I.,E.T.I.,Soggetto beneficiario,100000000
Eliseo,Eliseo,Soggetto beneficiario,12500000
Emme_Effe,Emme Effe,Soggetto beneficiario,350000
Ente_autonomo_Teatro_Stabile_de_L'Aquila,Ente autonomo Teatro Stabile de L'Aquila,Soggetto beneficiario,80000000
Ente_Teatro_Cronaca,Ente Teatro Cronaca,Soggetto beneficiario,7000000
Ente_Teatro_di_Sicilia_-_Stabile_di_Catania,Ente Teatro di Sicilia - Stabile di Catania,Soggetto beneficiario,123000000
Er_Piccolo_De_Roma,Er Piccolo De Roma,Soggetto beneficiario,1000000
Erba,Erba,Soggetto beneficiario,2000000
Estiva_Spettacoli_Gialli,Estiva Spettacoli Gialli,Soggetto beneficiario,700000
ETI,ETI,Soggetto beneficiario,25000000
Fantocci_Lirici_Otello_Monticelli,Fantocci Lirici Otello Monticelli,Soggetto beneficiario,300000
Fantoni-Fortunato,Fantoni-Fortunato,Soggetto beneficiario,250000
Ferrati-Orsini-Hintermann,Ferrati-Orsini-Hintermann,Soggetto beneficiario,375000
Fiore_Pisapia_Bianca,Fiore Pisapia Bianca,Soggetto beneficiario,300000
Fortunato-Garrani-Sbaggia,Fortunato-Garrani-Sbaggia,Soggetto beneficiario,15000000
Franco_Zeffirelli-Guarnieri-Giannini,Franco Zeffirelli-Guarnieri-Giannini,Soggetto beneficiario,10000000
"G.S.T._""0_15""_di_Mario_Ricci","G.S.T. ""0 15"" di Mario Ricci",Soggetto beneficiario,2000000
G.S.T._015,G.S.T. 015,Soggetto beneficiario,1500000
Garinei-Giovannini-Magni,Garinei-Giovannini-Magni,Soggetto beneficiario,8000000
Gerolamo,Gerolamo,Soggetto beneficiario,6000000
Gino_Bramieri,Gino Bramieri,Soggetto beneficiario,500000
Gino_Serra_-_Luciana_Lehar,Gino Serra - Luciana Lehar,Soggetto beneficiario,300000
Gli_Associati,Gli Associati,Soggetto beneficiario,30525000
Gruppo_di_E._Torricella,Gruppo di E. Torricella,Soggetto beneficiario,1500000
Gruppo_Giovanile_Universitario_dell'Università_di_Roma_-_Società_Dante_Alighieri,Gruppo Giovanile Universitario dell'Università di Roma - Società Dante Alighieri,Soggetto beneficiario,700000
Gruppo_Space_Re(v)action,Gruppo Space Re(v)action,Soggetto beneficiario,2000000
Gruppo_Teatro_Azione,Gruppo Teatro Azione,Soggetto beneficiario,1250000
Gruppo_Teatro_della_Rocca,Gruppo Teatro della Rocca,Soggetto beneficiario,10000000
Gruppo_Teatro_e_Azione,Gruppo Teatro e Azione,Soggetto beneficiario,20000000
Gruppo_Teatro_T,Gruppo Teatro T,Soggetto beneficiario,250000
I_cinque_del_teatro_da_camera_di_G._Quagliaroli,I cinque del teatro da camera di G. Quagliaroli,Soggetto beneficiario,1500000
I_Sodali,I Sodali,Soggetto beneficiario,300000
I_Teatranti_di_Clara_Colosimo,I Teatranti di Clara Colosimo,Soggetto beneficiario,1500000
Il_Bagaglino,Il Bagaglino,Soggetto beneficiario,120000
Il_Collettivo,Il Collettivo,Soggetto beneficiario,2850000
Il_Gruppo_diretta_da_E._Torricella,Il Gruppo diretta da E. Torricella,Soggetto beneficiario,1500000
Il_Porcospino_II,Il Porcospino II,Soggetto beneficiario,270000
Il_Teatro_di_Eduardo,Il Teatro di Eduardo,Soggetto beneficiario,20000000
Ivo_Salandin,Ivo Salandin,Soggetto beneficiario,400000
La_Collodiana,La Collodiana,Soggetto beneficiario,4000000
La_Giostra,La Giostra,Soggetto beneficiario,150000
La_Loggetta,La Loggetta,Soggetto beneficiario,60000
La_Milanese_,La Milanese,Soggetto beneficiario,9000000
La_Serenissima_di_Tonino_Micheluzzi,La Serenissima di Tonino Micheluzzi,Soggetto beneficiario,1500000
Leonardo_Salandin,Leonardo Salandin,Soggetto beneficiario,600000
Lionello-Gravina,Lionello-Gravina,Soggetto beneficiario,6800000
Lombardi_Anselmi,Lombardi Anselmi,Soggetto beneficiario,1200000
Lupi-Valli-Ferro-Reggiani,Lupi-Valli-Ferro-Reggiani,Soggetto beneficiario,9356000
Lupo-Valeri,Lupo-Valeri,Soggetto beneficiario,6000000
Macario,Macario,Soggetto beneficiario,4000000
Maniero-Giuffré,Maniero-Giuffré,Soggetto beneficiario,3000000
Mannoni-Palmer,Mannoni-Palmer,Soggetto beneficiario,5265000
Manzoni,Manzoni,Soggetto beneficiario,10500000
Marionette_Ciro_Perna,Marionette Ciro Perna,Soggetto beneficiario,300000
Marionette_Lupi_Janduia,Marionette Lupi Janduia,Soggetto beneficiario,600000
Marionettistica_fratelli_Colla,Marionettistica fratelli Colla,Soggetto beneficiario,900000
Masiero-Giuffrè,Masiero-Giuffrè,Soggetto beneficiario,3000000
Modugno-Quattrini,Modugno-Quattrini,Soggetto beneficiario,680000
Mondaini-Mulè_Teatro_d'Oggi,Mondaini-Mulè Teatro d'Oggi,Soggetto beneficiario,3500000
Moriconi-Carraro-Montagni-Innocenti,Moriconi-Carraro-Montagni-Innocenti,Soggetto beneficiario,15000000
Muse,Muse,Soggetto beneficiario,3000000
Music_G.E.G._Sr.l._(Garine_e_Giovannini),Music G.E.G. Sr.l. (Garine e Giovannini),Soggetto beneficiario,14000000
Music_G.R.M.G._,Music G.R.M.G.,Soggetto beneficiario,28000000
Nino_Taranto,Nino Taranto,Soggetto beneficiario,3500000
Nuovo,Nuovo,Soggetto beneficiario,12000000
Nuovo_Eliseo,Nuovo Eliseo,Soggetto beneficiario,7500000
Nuovo_Gruppo_Teatro_Uomo,Nuovo Gruppo Teatro Uomo,Soggetto beneficiario,1500000
Nuovo_Teatro_San_Babila,Nuovo Teatro San Babila,Soggetto beneficiario,10000000
Odeon,Odeon,Soggetto beneficiario,12500000
Oroburos,Oroburos,Soggetto beneficiario,1000000
Paolo_Poli,Paolo Poli,Soggetto beneficiario,13685000
Parioli,Parioli,Soggetto beneficiario,7000000
Parravicini_Paolo,Parravicini Paolo,Soggetto beneficiario,1000000
Pellerani_Ebe_e_Pellarani_Alberto,Pellerani Ebe e Pellarani Alberto,Soggetto beneficiario,400000
Pellerani_Ester_-_Bonora_Rito,Pellerani Ester - Bonora Rito,Soggetto beneficiario,500000
Pellerani_Maria,Pellerani Maria,Soggetto beneficiario,300000
Piccini,Piccini,Soggetto beneficiario,6500000
Piccole_machere_Accettella,Piccole machere Accettella,Soggetto beneficiario,800000
Piccolo_di_Milano,Piccolo di Milano,Soggetto beneficiario,163000000
"Piccolo_di_Milano_""Teatro_quartiere""","Piccolo di Milano ""Teatro quartiere""",Soggetto beneficiario,5000000
Piccolo_Teatro_dei_Leggendari_(Marga_._Marmoross_-_Sergardi),Piccolo Teatro dei Leggendari (Marga . Marmoross - Sergardi),Soggetto beneficiario,500000
Piccolo_Teatro_della_Città_di_Milano,Piccolo Teatro della Città di Milano,Soggetto beneficiario,413000000
Politeama,Politeama,Soggetto beneficiario,5000000
Politeama_,Politeama,Soggetto beneficiario,3000000
Porcospino_II,Porcospino II,Soggetto beneficiario,4000000
Proclemer-Albertazzi,Proclemer-Albertazzi,Soggetto beneficiario,7530000
Puccini,Puccini,Soggetto beneficiario,2500000
Pupi_Siciliani_di_Francesco_Sclafani,Pupi Siciliani di Francesco Sclafani,Soggetto beneficiario,300000
Raf_Vallone,Raf Vallone,Soggetto beneficiario,8850000
Rampini_Raimondo,Rampini Raimondo,Soggetto beneficiario,750000
Ridotto,Ridotto,Soggetto beneficiario,2000000
Ridotto_Eliseo,Ridotto Eliseo,Soggetto beneficiario,6000000
Rizzo_Giuseppe,Rizzo Giuseppe,Soggetto beneficiario,300000
Ruta-Brasey,Ruta-Brasey,Soggetto beneficiario,1500000
S._Genesio,S. Genesio,Soggetto beneficiario,2000000
San_Babila,San Babila,Soggetto beneficiario,9450000
San_Ferdinando,San Ferdinando,Soggetto beneficiario,9500000
Sant'Erasmo,Sant'Erasmo,Soggetto beneficiario,3000000
Satiri,Satiri,Soggetto beneficiario,3000000
Sistina,Sistina,Soggetto beneficiario,4000000
Sociale_alla_ringhiera_diretta_da_F._Molè,Sociale alla ringhiera diretta da F. Molè,Soggetto beneficiario,800000
Sociale_Emme_Effe,Sociale Emme Effe,Soggetto beneficiario,2000000
Sociale_Ninchi,Sociale Ninchi,Soggetto beneficiario,300000
Sociale_Ninchi_ed_Alessandro_Ninchi,Sociale Ninchi ed Alessandro Ninchi,Soggetto beneficiario,4000000
Sociale_Space_Re(v)action,Sociale Space Re(v)action,Soggetto beneficiario,1500000
Space_re(v)action,Space re(v)action,Soggetto beneficiario,1000000
Sperimentale_dell'università_popolare_Contardo_Ferrini,Sperimentale dell'università popolare Contardo Ferrini,Soggetto beneficiario,400000
Spettacoli_Classici_di_Torriero,Spettacoli Classici di Torriero,Soggetto beneficiario,1000000
Spettacoli_M.A._(Modugno),Spettacoli M.A. (Modugno),Soggetto beneficiario,800000
Spettacoli_per_Ragazzi_di_Luciano_Barbieri,Spettacoli per Ragazzi di Luciano Barbieri,Soggetto beneficiario,1000000
Stabile_del_Friuli-Venezia_Giulia,Stabile del Friuli-Venezia Giulia,Soggetto beneficiario,26000000
Stabile_del_Teatro_di_Roma,Stabile del Teatro di Roma,Soggetto beneficiario,10000000
Stabile_del_Teatro_Milanese,Stabile del Teatro Milanese,Soggetto beneficiario,19000000
Stabile_dell'Aquila,Stabile dell'Aquila,Soggetto beneficiario,23000000
Stabile_di_Bolzano,Stabile di Bolzano,Soggetto beneficiario,18000000
Stabile_di_Genova,Stabile di Genova,Soggetto beneficiario,40000000
Stabile_di_Torino,Stabile di Torino,Soggetto beneficiario,32000000
Stoppa-Salerno,Stoppa-Salerno,Soggetto beneficiario,6000000
Suffer_Remo,Suffer Remo,Soggetto beneficiario,400000
Teatro_Accademico_dell'Università_de_L'Aquila,Teatro Accademico dell'Università de L'Aquila,Soggetto beneficiario,1500000
Teatro_Alferd_Jarry,Teatro Alferd Jarry,Soggetto beneficiario,800000
Teatro_Alfieri,Teatro Alfieri,Soggetto beneficiario,4000000
Teatro_Biondo,Teatro Biondo,Soggetto beneficiario,3500000
Teatro_C.T.H._Centro_Teatrale_dell'Interland_di_Sesto_San_Giovanni,Teatro C.T.H. Centro Teatrale dell'Interland di Sesto San Giovanni,Soggetto beneficiario,200000
Teatro_Carignano,Teatro Carignano,Soggetto beneficiario,4000000
Teatro_Centrale_,Teatro Centrale,Soggetto beneficiario,2500000
Teatro_Classico_Giuseppe_Faraglia,Teatro Classico Giuseppe Faraglia,Soggetto beneficiario,200000
Teatro_Comico_(Macario),Teatro Comico (Macario),Soggetto beneficiario,350000
Teatro_comico_di_Firenze,Teatro comico di Firenze,Soggetto beneficiario,1000000
Teatro_Comico_di_Firenze_diretta_da_Dory_Cei,Teatro Comico di Firenze diretta da Dory Cei,Soggetto beneficiario,500000
Teatro_Comico_Macario,Teatro Comico Macario,Soggetto beneficiario,9000000
Teatro_d'Oggi,Teatro d'Oggi,Soggetto beneficiario,800000
Teatro_degli_Anni_Verdi,Teatro degli Anni Verdi,Soggetto beneficiario,7000000
Teatro_Dei_Satiri,Teatro Dei Satiri,Soggetto beneficiario,2500000
Teatro_del_Ridotto,Teatro del Ridotto,Soggetto beneficiario,1000000
Teatro_dell'Università_de_L'Aquila,Teatro dell'Università de L'Aquila,Soggetto beneficiario,2000000
Teatro_dell'Università_di_Padova,Teatro dell'Università di Padova,Soggetto beneficiario,4000000
Teatro_delle_Arti,Teatro delle Arti,Soggetto beneficiario,1000000
Teatro_delle_Arti_(Pepppino_De_Filippo),Teatro delle Arti (Pepppino De Filippo),Soggetto beneficiario,5000000
Teatro_delle_Dieci,Teatro delle Dieci,Soggetto beneficiario,100000
Teatro_delle_Muse,Teatro delle Muse,Soggetto beneficiario,3500000
Teatro_di_Eduardo,Teatro di Eduardo,Soggetto beneficiario,15000000
Teatro_Eliseo,Teatro Eliseo,Soggetto beneficiario,6500000
Teatro_Gerolamo,Teatro Gerolamo,Soggetto beneficiario,2000000
Teatro_Goldoni,Teatro Goldoni,Soggetto beneficiario,400000
Teatro_in_Piazza,Teatro in Piazza,Soggetto beneficiario,0
Teatro_Inisieme,Teatro Inisieme,Soggetto beneficiario,225000
Teatro_Insieme,Teatro Insieme,Soggetto beneficiario,51610000
Teatro_Libero,Teatro Libero,Soggetto beneficiario,11000000
Teatro_Libero_-_Formazione_universitaria_di_Palermo,Teatro Libero - Formazione universitaria di Palermo,Soggetto beneficiario,900000
Teatro_Manzoni,Teatro Manzoni,Soggetto beneficiario,6500000
Teatro_Moderno,Teatro Moderno,Soggetto beneficiario,4265000
Teatro_Nuovo,Teatro Nuovo,Soggetto beneficiario,9000000
Teatro_Nuovo_Mondo_di_Luisa_Giser,Teatro Nuovo Mondo di Luisa Giser,Soggetto beneficiario,1000000
Teatro_Odeon,Teatro Odeon,Soggetto beneficiario,6000000
Teatro_Ora_Zero_delle_Venezie,Teatro Ora Zero delle Venezie,Soggetto beneficiario,75000
Teatro_Parioli,Teatro Parioli,Soggetto beneficiario,5000000
Teatro_per_Ragazzi_di_Luciano_Colla,Teatro per Ragazzi di Luciano Colla,Soggetto beneficiario,1000000
Teatro_per_ragazzi_di_Roma,Teatro per ragazzi di Roma,Soggetto beneficiario,3000000
Teatro_Piccinni,Teatro Piccinni,Soggetto beneficiario,3500000
Teatro_Politeama,Teatro Politeama,Soggetto beneficiario,4000000
Teatro_Popolare_i_Figli_d'arte,Teatro Popolare i Figli d'arte,Soggetto beneficiario,500000
Teatro_Ragazzi_Gugliemo_Viti,Teatro Ragazzi Gugliemo Viti,Soggetto beneficiario,1000000
Teatro_Ridotto_Eliseo,Teatro Ridotto Eliseo,Soggetto beneficiario,3000000
Teatro_San_Babila,Teatro San Babila,Soggetto beneficiario,53670000
Teatro_San_Ferdinando,Teatro San Ferdinando,Soggetto beneficiario,4000000
Teatro_San_Genesio,Teatro San Genesio,Soggetto beneficiario,1500000
Teatro_Sloveno,Teatro Sloveno,Soggetto beneficiario,11000000
Teatro_Stabile_Bolzano,Teatro Stabile Bolzano,Soggetto beneficiario,41000000
Teatro_Stabile_Catania,Teatro Stabile Catania,Soggetto beneficiario,61000000
Teatro_Stabile_de_L'Aquila,Teatro Stabile de L'Aquila,Soggetto beneficiario,132000000
Teatro_Stabile_della_città_di_Torino,Teatro Stabile della città di Torino,Soggetto beneficiario,143000000
Teatro_Stabile_di_Bolzano,Teatro Stabile di Bolzano,Soggetto beneficiario,136000000
Teatro_Stabile_di_Catania,Teatro Stabile di Catania,Soggetto beneficiario,96000000
Teatro_Stabile_di_Genova,Teatro Stabile di Genova,Soggetto beneficiario,465000000
Teatro_Stabile_di_Roma,Teatro Stabile di Roma,Soggetto beneficiario,111500000
Teatro_Stabile_di_Torino,Teatro Stabile di Torino,Soggetto beneficiario,238000000
Teatro_Stabile_di_Trieste,Teatro Stabile di Trieste,Soggetto beneficiario,45000000
