id;label;type;node_value;x;y
"Centrale";"Centrale";"Soggetto beneficiario";"5000000";1010.720458984375;1026.8101806640625
"Centro_Attori";"Centro Attori";"Soggetto beneficiario";"2225000";951.6137084960938;1038.0418701171875
"Centro_Attori_la_Contemporanea";"Centro Attori la Contemporanea";"Soggetto beneficiario";"1000000";981.5896606445312;1002.1001586914062
"Centro_Attori_Milano";"Centro Attori Milano";"Soggetto beneficiario";"150000";973.9794921875;1023.5382690429688
"Centro_di_Laovro_Teatrale_"Il_Trebbo"";"Centro di Laovro Teatrale "Il Trebbo"";"Soggetto beneficiario";"1000000";950.5244140625;1119.4339599609375
"Centro_di_Ricerche_Teatrali_I_Rabdomanti";"Centro di Ricerche Teatrali I Rabdomanti";"Soggetto beneficiario";"500000";947.8009643554688;1118.362060546875
"Centro_Teatro_Esse";"Centro Teatro Esse";"Soggetto beneficiario";"2600000";984.8295288085938;1056.786376953125
"Centro_Universitario_di_Perugia";"Centro Universitario di Perugia";"Soggetto beneficiario";"3000000";1032.9058837890625;1079.541748046875
"Centro_Universitario_Teatrale_di_Urbino";"Centro Universitario Teatrale di Urbino";"Soggetto beneficiario";"1000000";1035.751220703125;1102.74658203125
"Cervi-Adani-Carlini-Granata";"Cervi-Adani-Carlini-Granata";"Soggetto beneficiario";"375000";944.2135009765625;1054.5863037109375
"Cervi-Pagani-Carlini-Granata";"Cervi-Pagani-Carlini-Granata";"Soggetto beneficiario";"400000";970.6798706054688;1019.373046875
"Chiari-Chelli";"Chiari-Chelli";"Soggetto beneficiario";"455000";942.8517456054688;1056.622802734375
"CIttà_di_Firenze";"CIttà di Firenze";"Soggetto beneficiario";"500000";949.7866821289062;1092.5040283203125
"Comapgnia_della_Loggetta";"Comapgnia della Loggetta";"Soggetto beneficiario";"2000000";958.2514038085938;1035.068115234375
"Comapgnia_il_Triennio";"Comapgnia il Triennio";"Soggetto beneficiario";"300000";977.3697509765625;1025.9842529296875
"Comicità_Teatrale_Italiana";"Comicità Teatrale Italiana";"Soggetto beneficiario";"400000";1012.7498779296875;1014.2146606445312
"Comp._Del_Teatro_Italiano_con_Peppino_De_Filippo_";"Comp. Del Teatro Italiano con Peppino De Filippo";"Soggetto beneficiario";"8000000";1004.130126953125;1029.43212890625
"Compagnia_alla_Ringhiera_di_Molè";"Compagnia alla Ringhiera di Molè";"Soggetto beneficiario";"2000000";1017.3156127929688;1014.1295776367188
"Compagnia_Bax-Bellei";"Compagnia Bax-Bellei";"Soggetto beneficiario";"350000";967.7862548828125;1026.9442138671875
"Compagnia_Bax-Bellei-Bussolino";"Compagnia Bax-Bellei-Bussolino";"Soggetto beneficiario";"5000000";1007.798095703125;1037.1466064453125
"Compagnia_Cristiano_e_Isabella";"Compagnia Cristiano e Isabella";"Soggetto beneficiario";"1500000";1021.435791015625;1034.4449462890625
"Compagnia_De_Lullo-Falk-Valli-Albani";"Compagnia De Lullo-Falk-Valli-Albani";"Soggetto beneficiario";"15000000";1011.6565551757812;1040.376708984375
"Compagnia_dei_Commedianti";"Compagnia dei Commedianti";"Soggetto beneficiario";"500000";933.9732666015625;1084.170166015625
"Compagnia_dei_Filodrammatici";"Compagnia dei Filodrammatici";"Soggetto beneficiario";"940000";1018.7837524414062;1008.127685546875
"Compagnia_dei_Quattro";"Compagnia dei Quattro";"Soggetto beneficiario";"43130000";964.1328125;1049.4259033203125
"Compagnia_dei_Quattro_";"Compagnia dei Quattro";"Soggetto beneficiario";"20600000";984.8369140625;1024.435302734375
"Compagnia_del_Dramma_Italiano";"Compagnia del Dramma Italiano";"Soggetto beneficiario";"3300000";988.8013305664062;1025.3580322265625
"Compagnia_del_Malinteso";"Compagnia del Malinteso";"Soggetto beneficiario";"11000000";979.765625;1007.5061645507812
"Compagnia_del_Porcospino_II";"Compagnia del Porcospino II";"Soggetto beneficiario";"8000000";970.9598999023438;1072.486083984375
"Compagnia_del_Teatro_dei_Leggendari_di_Siena";"Compagnia del Teatro dei Leggendari di Siena";"Soggetto beneficiario";"1000000";977.015380859375;1105.0411376953125
"Compagnia_del_Teatro_di_Roma_(Checco_Durante)";"Compagnia del Teatro di Roma (Checco Durante)";"Soggetto beneficiario";"3000000";1001.4901733398438;1029.5106201171875
"Compagnia_del_Teatro_in_Piazza_diretta_da_Massella";"Compagnia del Teatro in Piazza diretta da Massella";"Soggetto beneficiario";"500000";1020.958740234375;1010.6707153320312
"Compagnia_del_Teatro_Moderno";"Compagnia del Teatro Moderno";"Soggetto beneficiario";"300000";991.362060546875;1095.7860107421875
"Compagnia_dell'Atto";"Compagnia dell'Atto";"Soggetto beneficiario";"7000000";976.365234375;1049.5704345703125
"Compagnia_della_Commedia";"Compagnia della Commedia";"Soggetto beneficiario";"4400000";967.3944702148438;1033.135009765625
"Compagnia_della_Commedia_(Bucciarelli)";"Compagnia della Commedia (Bucciarelli)";"Soggetto beneficiario";"5000000";1018.7071533203125;1040.8681640625
"Compagnia_della_Giostra";"Compagnia della Giostra";"Soggetto beneficiario";"2000000";958.0178833007812;1043.929443359375
"Compagnia_di_Armando_Ninchi";"Compagnia di Armando Ninchi";"Soggetto beneficiario";"4000000";976.7026977539062;1079.94873046875
"Compagnia_di_Eduardo";"Compagnia di Eduardo";"Soggetto beneficiario";"20000000";989.029541015625;996.479248046875
"Compagnia_di_Eduardo_De_Filippo_";"Compagnia di Eduardo De Filippo";"Soggetto beneficiario";"20000000";1010.6773681640625;1034.526611328125
"Compagnia_di_Gino_Cervi";"Compagnia di Gino Cervi";"Soggetto beneficiario";"4000000";976.6142578125;1066.06982421875
"Compagnia_Eduardo_De_Filippo";"Compagnia Eduardo De Filippo";"Soggetto beneficiario";"11000000";943.4531860351562;1091.232666015625
"Compagnia_Ente_Teatro_Cronaca";"Compagnia Ente Teatro Cronaca";"Soggetto beneficiario";"4000000";1007.7350463867188;1033.5394287109375
"Compagnia_Fantoni-Fortuno-Ronconi.Scaccia";"Compagnia Fantoni-Fortuno-Ronconi.Scaccia";"Soggetto beneficiario";"15000000";1005.3153076171875;1035.874755859375
"Compagnia_Gruppo_della_Rocca";"Compagnia Gruppo della Rocca";"Soggetto beneficiario";"6000000";973.3411865234375;1079.387939453125
"Compagnia_Gruppo_Teatro_e_Azione_di_Giorgio_Strehler";"Compagnia Gruppo Teatro e Azione di Giorgio Strehler";"Soggetto beneficiario";"20000000";981.9847412109375;1063.4508056640625
"Compagnia_Gruppo_Teatro_ed_Azione_diretta_da_G._Strehler";"Compagnia Gruppo Teatro ed Azione diretta da G. Strehler";"Soggetto beneficiario";"15000000";975.849365234375;1083.7313232421875
